subject,trial,model,mass_kg,t0,t1,ankle_r,ankle_l,knee_r,knee_l,hip_r,hip_l,grf_peak,residual,cop_dist,so_recon_max,so_reserve_max,syn_k_r,syn_k_l,syn_vaf_r,syn_vaf_l,syn_kglobal_r,syn_kglobal_l,syn_kdual_r,syn_kdual_l,id_verdict,ma_verdict,so_verdict,syn_verdict,error
subject11,walking2_segment_0,subject11_scaled.osim,96.378,0.208,1.161,1.816,1.678,0.856,0.898,0.936,1.069,1.278,4.288,0.157,0.091,2.056,9,6,0.9578,0.9127,6,6,9,,WARN,WARN,PASS,WARN,
subject11,walking3_segment_0,subject11_scaled.osim,96.378,0.179,1.161,1.616,1.562,0.833,0.798,0.82,0.898,1.238,3.148,0.15,0.235,0.163,11,8,0.9784,0.9476,6,6,11,8,WARN,WARN,PASS,PASS,
subject11,walking4_segment_0,subject11_scaled.osim,96.378,0.218,1.181,1.961,1.606,0.933,0.785,0.814,0.945,1.277,4.104,0.146,0.087,0.327,9,9,0.9644,0.9552,6,7,9,9,WARN,WARN,PASS,PASS,
subject11,walkingTS1_segment_0,subject11_scaled.osim,96.378,0.229,1.431,1.796,1.536,0.484,0.595,0.581,0.611,1.196,2.755,0.164,0.094,0.12,7,9,0.9601,0.9662,5,6,7,9,WARN,WARN,PASS,PASS,
subject11,walkingTS2_segment_0,subject11_scaled.osim,96.378,0.238,1.381,1.689,1.543,0.633,0.599,0.718,0.674,1.22,3.487,0.158,0.078,0.069,6,10,0.9467,0.9737,5,6,6,10,WARN,WARN,PASS,PASS,
subject11,walkingTS3_segment_0,subject11_scaled.osim,96.378,0.219,1.401,1.558,1.701,0.703,0.953,0.661,0.648,1.216,3.471,0.156,0.087,0.079,7,9,0.946,0.9601,6,6,7,9,WARN,WARN,PASS,PASS,
subject3,walking1_segment_0,subject3_scaled.osim,65.908,0.248,1.121,1.399,1.298,0.409,0.477,0.945,0.906,1.287,3.806,0.111,0.157,0.101,7,7,0.9601,0.9761,5,4,7,7,PASS,PASS,PASS,PASS,
subject3,walking2_segment_0,subject3_scaled.osim,65.908,0.228,1.161,1.384,1.284,0.483,0.472,0.883,1.067,1.284,3.845,0.111,0.285,0.105,7,10,0.9569,0.9911,5,4,7,10,PASS,PASS,PASS,PASS,
subject3,walking3_segment_0,subject3_scaled.osim,65.908,0.248,1.181,1.392,1.343,0.415,0.597,0.944,1.066,1.269,3.353,0.111,0.138,0.087,7,10,0.9616,0.9871,5,5,7,10,PASS,PASS,PASS,PASS,
subject3,walkingTS2_segment_0,subject3_scaled.osim,65.908,0.169,1.611,1.359,1.174,0.347,0.384,0.605,0.554,1.166,3.652,0.118,0.292,0.283,8,7,0.9591,0.9574,5,5,8,7,WARN,PASS,PASS,PASS,
subject3,walkingTS3_segment_0,subject3_scaled.osim,65.908,0.189,1.501,1.363,1.356,0.296,0.304,0.676,0.694,1.21,2.813,0.131,0.345,0.122,7,8,0.9497,0.9689,5,5,7,8,WARN,PASS,PASS,PASS,
subject3,walkingTS4_segment_0,subject3_scaled.osim,65.908,0.209,1.361,1.391,1.233,0.287,0.341,0.65,0.629,1.221,3.545,0.118,0.384,0.26,7,6,0.9535,0.9365,5,5,7,6,WARN,PASS,PASS,PASS,
subject4,walking1_segment_0,subject4_scaled.osim,63.096,0.208,1.111,1.498,1.404,0.743,0.814,0.919,0.898,1.245,2.926,0.117,0.069,0.066,7,9,0.9666,0.9819,5,5,7,9,WARN,PASS,PASS,PASS,
subject4,walking2_segment_0,subject4_scaled.osim,63.096,0.208,1.121,1.441,1.364,0.768,0.915,0.937,0.868,1.239,2.406,0.119,0.069,0.076,7,9,0.9618,0.9832,5,5,7,9,WARN,PASS,PASS,PASS,
subject4,walking4_segment_0,subject4_scaled.osim,63.096,0.248,1.191,1.5,1.417,0.897,0.911,0.848,0.836,1.217,3.201,0.125,0.073,0.062,9,9,0.9789,0.9832,5,5,9,9,WARN,PASS,PASS,PASS,
subject4,walkingTS1_segment_0,subject4_scaled.osim,63.096,0.228,1.231,1.434,1.368,0.82,0.615,0.799,0.785,1.211,2.531,0.122,0.106,0.079,8,8,0.9712,0.9729,5,5,8,8,WARN,PASS,PASS,PASS,
subject4,walkingTS2_segment_0,subject4_scaled.osim,63.096,0.238,1.211,1.464,1.347,0.85,0.577,0.854,0.806,1.214,2.572,0.129,0.085,0.079,8,11,0.9665,0.9849,5,6,8,11,WARN,PASS,PASS,PASS,
subject4,walkingTS3_segment_0,subject4_scaled.osim,63.096,0.248,1.211,1.389,1.477,0.708,0.749,0.973,0.874,1.287,2.933,0.132,0.078,0.082,8,10,0.9665,0.9821,5,5,8,10,PASS,PASS,PASS,PASS,
subject5,walking1_segment_0,subject5_scaled.osim,83.368,0.248,1.191,1.529,1.505,0.475,0.46,1.021,1.024,1.205,2.914,0.103,0.338,0.159,9,7,0.9646,0.9398,5,6,9,7,PASS,PASS,PASS,PASS,
subject5,walking2_segment_0,subject5_scaled.osim,83.368,0.238,1.161,1.499,1.501,0.489,0.438,1.02,0.957,1.198,2.734,0.106,0.269,0.144,9,12,0.9711,0.9813,5,6,9,12,PASS,PASS,PASS,PASS,
subject5,walking3_segment_0,subject5_scaled.osim,83.368,0.258,1.211,1.514,1.528,0.459,0.46,1.081,0.969,1.213,2.857,0.11,0.306,0.114,9,10,0.9726,0.9739,5,6,9,10,PASS,PASS,PASS,PASS,
subject5,walkingTS1_segment_0,subject5_scaled.osim,83.368,0.268,1.301,1.54,1.506,0.398,0.541,0.845,0.762,1.26,2.349,0.12,0.221,0.079,7,8,0.9587,0.9562,5,6,7,8,WARN,PASS,PASS,PASS,
subject5,walkingTS2_segment_0,subject5_scaled.osim,83.368,0.228,1.261,1.629,1.479,0.449,0.595,0.927,0.765,1.3,2.577,0.116,0.263,0.069,5,11,0.936,0.9803,4,6,5,11,WARN,PASS,PASS,PASS,
subject5,walkingTS3_segment_0,subject5_scaled.osim,83.368,0.278,1.261,1.477,1.477,0.379,0.59,0.864,0.756,1.25,2.609,0.121,0.139,0.06,7,8,0.9666,0.9705,4,5,7,8,WARN,PASS,PASS,PASS,
subject7,walking1_segment_0,subject7_scaled.osim,62.634,0.288,1.111,1.283,1.286,0.802,0.825,0.877,0.813,1.351,2.905,0.114,0.078,0.133,6,11,0.9543,0.9883,5,5,6,11,WARN,PASS,PASS,PASS,
subject7,walking2_segment_0,subject7_scaled.osim,62.634,0.248,1.111,1.388,1.429,0.862,0.859,0.89,0.798,1.342,3.144,0.128,0.068,0.061,8,10,0.9658,0.9833,5,5,8,10,WARN,PASS,PASS,PASS,
